Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
65069,4JzCFEc3O2UEdjKzevvFH5,BTS,Proof,For Youth,78,264480,False,0.633,0.511,2,-5.665,1,0.0368,0.434,0.0,0.248,0.29,116.855,3,k-pop
32889,3ZzhV6JIDKWvWR7wiKWD0C,Air,Moon Safari,La femme d'argent,61,426614,False,0.517,0.737,6,-8.189,0,0.0352,0.434,0.684,0.392,0.558,79.82,4,electronic
72591,6i262UpOYbVOFh88NU0SZc,Callejon,Ich komme niemals an,Mary Shelley,28,259428,False,0.33,0.93,0,-4.513,0,0.154,0.00121,0.0,0.0728,0.0549,148.251,4,metalcore
109223,5BeV0OiC4VQ3TG7ZlNHHsz,Gammer;Naeleck;Hige Driver,Virtual Gaming (Gammer Remix),Virtual Gaming - Gammer Remix,55,158158,False,0.496,0.98,11,-3.434,0,0.0474,0.000291,0.318,0.353,0.391,150.008,4,techno
30576,2pFL6kVGR4PIuPlL2AuAWk,Rival;Cadmium;Harley Bird,Seasons,Seasons,58,248275,False,0.542,0.676,6,-7.363,1,0.0395,0.148,0.0,0.101,0.48,144.907,4,edm
72055,54otdw8MmYNz2ewGHzmaTP,The Plot In You,FEEL NOTHING (RESET),FEEL NOTHING - RESET,55,220688,True,0.34,0.887,4,-4.54,0,0.0898,0.00345,2.72e-06,0.0622,0.215,144.081,4,metalcore
103522,2WxsyR3WLCdDhWIMJeG12y,Faith Evans,Modern R&B Love,Alone in This World,0,233400,False,0.625,0.807,0,-5.959,0,0.114,0.0312,0.0,0.278,0.617,92.037,4,soul
59321,0nSXZcdj8lPLwAHP5D7xFo,Parsa Shomali,Girih: Iranian Sound Artists,Howl,0,254000,False,0.258,0.247,0,-17.379,1,0.0412,0.904,0.934,0.608,0.039,120.3,4,iranian
12035,3PrIhODothki0YvYW3qCOT,Leo Ku,遊戲 基,必殺技,55,232012,False,0.625,0.507,7,-8.294,1,0.0296,0.574,1.63e-06,0.0892,0.373,136.933,4,cantopop
12332,6plpGZ7TRQzo8BTVGdBZ4d,Jacky Cheung,等你等到我心痛精選,還是覺得你最好,45,322306,False,0.497,0.294,5,-13.787,1,0.0304,0.241,0.0,0.1,0.308,173.993,4,cantopop
395,0HL3y3bsKSARBSP0qaImwb,Brandi Carlile,Onward (Original Motion Picture Soundtrack),Carried Me With You,62,213732,False,0.639,0.666,0,-7.775,1,0.0636,0.271,0.0,0.111,0.372,98.384,4,acoustic
96453,5R2ZDKN9EOQxg2ApKCfTYh,Gal Costa;Zeca Baleiro,Maxximum - Gal Costa,Vapor Barato (feat. Zeca Baleiro),40,411733,False,0.537,0.403,9,-10.054,0,0.0356,0.533,0.0,0.966,0.237,123.647,4,samba
17644,1GzE0fPtJ4kWRz5vqJ2Pwb,Tiger Trap,Tiger Trap,Tore A Hole,18,118173,False,0.4,0.71,9,-8.662,0,0.0326,0.00896,0.832,0.0856,0.897,167.973,4,club
73329,16AWPFcIfmbrYvl4hjOVHD,Amelie Lens;Farrago,Weight Of The Land,Purge,42,433218,False,0.744,0.593,11,-11.791,1,0.0466,0.16,0.888,0.0616,0.0694,125.996,4,minimal-techno
91086,03pixFplMU4GlGanyGESCJ,OneRepublic,CHRISTMAS TOP HITS 2022,Christmas Without You,0,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,rock
8297,6AJrjScRxKAzfImtWbCIaM,Thin Lizzy,Rock Workout 2023,The Boys Are Back In Town,0,263146,False,0.457,0.87,8,-4.906,1,0.0711,0.292,1.67e-06,0.117,0.694,81.095,4,blues
46301,4BTVMYO9V5au4AgPgguAG0,Bodylotion,Happy Hardcore Top 100,Happy Is Voor Hobo's,21,185733,False,0.74,0.976,3,-8.183,1,0.0781,0.0206,0.14,0.716,0.147,99.997,4,happy
49205,56ghsgSC9Y0MJ1yKnLFixe,Psyko Punkz;Coone;KELTEK,Arriba,Arriba,47,191372,False,0.521,0.832,1,-5.321,1,0.166,0.0262,0.000499,0.121,0.337,152.772,4,hardstyle
10768,2LScaxwPQdvWkdLZ4QmA5t,DJ Icey,Trackotron 2,So Much,12,212347,False,0.772,0.893,6,-4.321,0,0.0405,0.0352,0.391,0.102,0.642,128.047,4,breakbeat
18296,1WzFJkpI1M4P6jc6JCoExt,Dan Cummins,Get Outta Here; Devil!,Getting My Zapples Riled,24,208741,True,0.611,0.729,9,-12.856,0,0.952,0.7,0.0,0.712,0.522,83.052,1,comedy
17570,3fRsh1JrJH0Mq2U7bIvVDz,Powernerd,Destroy to Create,Dark Triads,42,194641,False,0.43,0.909,2,-7.091,0,0.0322,0.00183,0.781,0.32,0.135,102.007,4,club
77401,5vMVoATz4nfaWVxKJeLv7U,Sorriso Maroto,Riscos e Certezas,"Tá Bom, Aham",46,175746,False,0.74,0.812,11,-5.962,1,0.101,0.462,0.0,0.0823,0.951,168.126,4,pagode
82478,4wQdNXWC9oXoVVoJRMMCdH,Mott The Hoople,The Best Of,Roll Away the Stone,25,186786,False,0.553,0.948,1,-5.63,1,0.0634,0.0114,0.0,0.812,0.746,125.267,4,power-pop
106139,5jSV49gFlnc8FgpvjOCcM4,Rasmus Hagen;Ebba Bergendahl,Love & Hurt,Someone Just Like You,54,196235,False,0.657,0.582,1,-5.762,1,0.0776,0.0623,0.00211,0.215,0.291,169.971,4,swedish
112170,4DA5sNDdnpku4K6URoi0Ku,Birsen Tezer,Saklasam Kendimi,Saklasam Kendimi,43,300967,False,0.319,0.622,0,-5.918,0,0.0603,0.579,1.15e-06,0.224,0.379,149.301,3,turkish
23265,4cMBFU3ZjlbscquikM8sM7,Deep Chills;Not Famous,Backfire,Backfire,37,184800,False,0.806,0.491,11,-7.053,1,0.0479,0.329,4.16e-06,0.189,0.847,100.001,4,deep-house
27977,4QNxCbsv4o7y4pb1okB0Om,Camo & Krooked,SSX,Heat,16,212013,False,0.319,0.868,2,-7.217,1,0.0514,5.42e-05,0.931,0.197,0.0986,174.968,4,drum-and-bass
10457,1PjBog09mQ1adK3yiEVnNW,Noisia;16 Bit,Split the Atom (Special Edition),Machine Gun - 16 Bit Remix,33,360020,False,0.374,0.885,6,-6.797,0,0.311,0.000506,0.625,0.108,0.305,104.968,3,breakbeat
85780,6SHxM9QMWJIN3uY3XupE3W,PXNDX,La Revancha Del Principe Charro,Claro Que No,35,179813,False,0.405,0.908,1,-3.629,1,0.0748,0.000293,5.65e-06,0.14,0.336,145.753,4,punk-rock
12012,7uo5PgFlHaRpdigxdzP0i7,my little airport,SABINA之淚,宋代SAD BOY,41,173911,False,0.566,0.413,7,-13.556,1,0.0568,0.733,0.0599,0.0951,0.523,129.999,4,cantopop
23874,5o459PfDdkvptrq8lAGerD,Michael Calfan;Gabrielle Aplin,Imagining (feat. Gabrielle Aplin),Imagining (feat. Gabrielle Aplin),49,174193,False,0.678,0.668,0,-6.706,0,0.0613,0.0122,5.19e-06,0.53,0.391,124.015,4,deep-house
86659,4SBTogXwTxT4Okzrej5PtW,Çilekeş,Y.O.K.,Yetmiyor,40,276080,False,0.472,0.749,1,-6.537,0,0.0304,0.000954,9.72e-06,0.153,0.107,141.986,4,punk
4797,7wP9WrSAnNgJqS48KRPyWs,Dustin O'Halloran,Like Crazy (Original Motion Picture Score),Departures n1,25,115640,False,0.436,0.0949,3,-18.795,1,0.0482,0.992,0.938,0.0994,0.0338,160.164,3,ambient
81614,0zhGFpuiYroEopRgqD04F5,Sam Smith,TickTok Back To School 2022,I'm Not The Only One,1,239426,False,0.684,0.487,5,-5.887,1,0.0367,0.495,4.57e-06,0.0821,0.456,81.997,4,pop
47345,2zSTvC7IA8EiD4cvo4VdVr,Chico Science;Nação Zumbi,Da Lama Ao Caos,A Cidade,45,286666,False,0.734,0.824,7,-9.932,1,0.0493,0.0559,0.00237,0.0606,0.911,95.534,4,hard-rock
84314,62zuXt6X5B6YQOBNFV2eXG,Pink Floyd,The Wall,The Thin Ice,56,146321,False,0.406,0.128,9,-16.983,0,0.0349,0.359,0.0019,0.656,0.191,110.272,5,psych-rock
20515,41cDKFuTigPfBWyLYQKMsO,Burna Boy,New Arrivals,Last Last,0,172342,False,0.795,0.565,3,-4.457,0,0.0948,0.131,0.0,0.0802,0.55,87.925,4,dance
78638,06PwA8LlDEmffZF1foX66r,Rick Arena,Ballermann Party Hits Megamix 2022.2,"Keine Termine, leicht einen sitzen",0,175614,False,0.624,0.956,9,-3.55,1,0.0917,0.0277,0.0,0.52,0.698,145.022,4,party
8385,7fJCh476dJ84H0WzUeOjXE,Solomon Burke,Perfect Christmas Hits,Presents for Christmas,0,193493,False,0.594,0.815,10,-9.223,0,0.216,0.668,0.0,0.324,0.54,114.316,4,blues
36557,380vyl9xb7um0l5qIYyWeC,Luca;Joel Stewart,Overflow (feat. Joel Stewart),Overflow - feat. Joel Stewart,53,142105,False,0.603,0.421,9,-10.646,1,0.0493,0.567,5.58e-05,0.0757,0.242,114.093,4,french
88853,4BxzNZpcm1j3JczZzGNe2k,Don Omar;Tego Calderón,The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack),Bandoleros,70,305280,False,0.662,0.896,5,-5.311,0,0.251,0.318,0.0,0.186,0.79,90.622,4,reggae
55392,0Pe6XBhleBHeyuE23ZHETQ,Kritiman Mishra;Arijit Singh;Shreya Ghoshal;Javed-Mohsin,Pal (Lofi Flip),Pal - Lofi Flip,51,263200,False,0.616,0.6,7,-7.662,0,0.0417,0.192,0.046,0.176,0.23,119.944,4,indian
76561,1AdVqxJNhspyfmIswUrzlC,Lara Fabian,Love By Grace,Love by Grace,21,248493,False,0.418,0.377,6,-8.771,1,0.0327,0.709,0.0,0.0928,0.193,137.485,4,opera
21780,0Ne5BxmfLXFVHCLnImpsrr,Nervz;Navaz,Street College,Chappa Fi True,26,237176,False,0.834,0.442,5,-7.749,1,0.133,0.563,0.0,0.0714,0.722,113.478,5,dancehall
25700,4QcDkuGQx9824a6X9BZF4e,Martin Solveig;Ina Wroldsen,Places,Places,62,202745,False,0.728,0.854,0,-3.86,0,0.0457,0.248,0.00188,0.149,0.62,121.995,4,disco
54705,5X6ng9tpM3U2VWccbdZWld,Datassette,Zetex,K-Cloche,9,156141,False,0.903,0.198,7,-16.365,0,0.0619,0.97,0.924,0.109,0.269,113.886,4,idm
19626,0WIeJxgsLtiUGqoSxB9Bht,Devin Dawson,Cozy Country,All on Me,0,224626,False,0.634,0.666,5,-5.489,1,0.029,0.139,0.0,0.216,0.625,80.989,4,country
90208,0Tjdbd83LEAWrA0atsXMDJ,The Everly Brothers,Best Of The Everly Brothers - Rare Solo Classics,Let It Be Me,58,146733,False,0.471,0.19,7,-16.046,1,0.028,0.77,0.00385,0.129,0.305,72.764,4,rock-n-roll
86587,5taYc1q2cpXe2xUuZAVAr7,Real Friends,Alternative Christmas 2022,I Had A Heart,0,157746,False,0.608,0.851,1,-6.181,1,0.0282,0.0191,0.0,0.12,0.409,129.997,4,punk
66770,2bfY3JVp0JQjjTsCg36Mur,Chicken Dance Party,Chicken Dance Party,The Hampster Dance,8,209709,False,0.727,0.823,4,-9.605,1,0.0405,0.00316,0.688,0.199,0.889,136.019,4,kids
38823,7I5ASCk6ke8zNQufjp9C0V,Sad Park,It's All Over,Nothing Ever,26,220314,False,0.531,0.96,7,-6.42,1,0.0907,9.95e-05,0.649,0.0766,0.377,98.982,4,garage
40695,2STTSlcz0aDMKU4VPj1V8E,Eli Soares,360 Graus,Deus Não É Culpado,39,296002,False,0.315,0.406,9,-10.503,1,0.0454,0.479,0.0,0.149,0.199,85.58,5,gospel
2677,3yz60wsJlg630mjAfU4qIv,Steve Earle,Good Times Country,Go Amanda,0,214720,False,0.326,0.716,10,-3.547,1,0.0306,0.00227,0.00171,0.123,0.648,143.148,4,alt-rock
82188,4kBJKzHDMYlocOXDssdqNi,Flamin' Groovies,Groovies Greatest Grooves,Don't Put Me On,31,252346,False,0.631,0.593,5,-11.485,1,0.0444,0.0866,0.122,0.374,0.58,128.47,4,power-pop
31016,1TQXIltqoZ5XXyfCbAeSQQ,Sasha Alex Sloan,Dancing With Your Ghost,Dancing With Your Ghost,80,197732,False,0.629,0.328,11,-8.284,1,0.029,0.768,2.5e-05,0.103,0.389,74.953,4,electro
13649,7KkjTunfXrZoG93el4plID,Mike Dunn,My House From All Angles,Acid Rush - Extended Vokal mixX,8,377360,False,0.787,0.897,1,-10.278,1,0.056,0.00688,0.902,0.0935,0.629,124.992,4,chicago-house
45133,3fIMrnu2RWhlQ7Gt3Y2849,Jerry Byrd,Hawaiian Summer: 50 Songs for a Hula Beach Party (Or for Drifting Away to Paradise in a Hammock),Beautiful Kahana,29,155293,False,0.396,0.233,9,-13.781,0,0.0334,0.969,0.887,0.127,0.0966,131.923,4,guitar
98899,7lgkO0trbpO3S6Uy1qQ10u,Chess In Concert,Chess In Concert,Florence and Molokov,20,36386,False,0.689,0.277,1,-12.386,0,0.389,0.839,0.0,0.174,0.772,155.183,4,show-tunes
97437,3xCKdkgo7V7WfCyCPvhtyz,Pixote,15 Anos (Ao Vivo),Brilho de Cristal / É de Arrepiar / Saudade de Nós - Ao Vivo,49,361600,False,0.534,0.846,9,-6.405,1,0.0923,0.484,0.0,0.959,0.756,100.628,4,sertanejo
47102,46QazXxQS0B31CnbRCy8CV,Scorpions,Comeblack,Rock You Like a Hurricane - 2011,64,255573,False,0.587,0.891,11,-3.381,1,0.0361,0.000261,0.00454,0.314,0.705,124.005,4,hard-rock
102021,3dYD57lRAUcMHufyqn9GcI,Hozier,Hozier,Take Me To Church,83,241688,False,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,4,songwriter
55136,5L70RGPJEdooqtrgR7vd6U,Pritam;Arijit Singh;Tulsi Kumar,Bhool Bhulaiyaa 2,Hum Nashe Mein Toh Nahin,63,238252,False,0.572,0.736,11,-7.768,1,0.0658,0.643,0.0,0.128,0.778,85.035,4,indian
87239,0kthROvKVawwpvLLJbDAtr,El Coyote Y Su Banda Tierra Santa,Se Tenia Que Decir Y Se Dijo,Se Tenia Que Decir Y Se Dijo,49,211341,False,0.564,0.485,8,-2.177,1,0.0404,0.52,0.0,0.0468,0.921,82.376,4,r-n-b
42048,2UaHvadRqKrUTabLgRdKSQ,Magrudergrind,Magrudergrind,Martyrs Of The Shoah,22,165746,False,0.258,0.936,8,-6.119,1,0.0815,5.68e-06,0.474,0.108,0.233,109.34,4,grindcore
26435,7wFjkGbkPOlcsSPnECnnSX,Oliver Wallace;Frank Churchill,Dumbo,"Circus Parade - From ""Dumbo""/Score",23,88426,False,0.629,0.76,10,-11.851,1,0.0957,0.96,0.885,0.231,0.896,144.114,4,disney
95545,3dUmLHpb2EN7nWHTHT5Lxg,Gilberto Santa Rosa,40... y Contando (En Vivo Desde Puerto Rico),Me Volvieron A Hablar De Ella - En Vivo desde Puerto Rico,29,176706,False,0.477,0.882,6,-5.603,0,0.0805,0.167,2.21e-06,0.626,0.514,97.271,4,salsa
1993,4YkyEJKKgaB1HyHPOAmmMr,Los Amigos Invisibles,Live En Una Noche Tan Linda Como Esta Vol 2,Cuchi-cuchi,19,321541,False,0.566,0.778,9,-7.04,1,0.058,0.362,0.101,0.985,0.362,125.423,4,afrobeat
63538,3532jwjYi6tiOpTRHjpr8j,Official HIGE DANdism,One-Man Tour 2021-2022 -Editorial-@Saitama Super Arena (LIVE),Midori no Amayoke - LIVE,23,241173,False,0.562,0.484,5,-14.558,1,0.0293,0.642,0.000185,0.69,0.458,94.94,4,j-rock
82007,6uYSPBL3Y2shKlqH52Rw4l,Jimmy Eat World,Emo Christmas 2022,Last Christmas,0,267493,False,0.532,0.842,2,-6.152,1,0.0403,0.00131,1.2e-06,0.33,0.715,126.042,4,power-pop
11438,1gwFfM7p668czVJkGJrQNe,John Lunn;Johannes Bornlöf,Refreshing Piano,"Downton Abbey Suite (From ""Downton Abbey"")",0,207882,False,0.416,0.0857,9,-23.241,0,0.0328,0.989,0.889,0.0943,0.135,170.103,3,british
46159,55dffpMdGWqvPYceW1Lit9,Anime,Detonate 2019,Detonate 2019,25,199666,False,0.547,0.998,7,-1.41,1,0.421,0.109,0.00334,0.485,0.0381,180.007,4,happy
11340,2JHDQniFoDEKADCmnF4ntb,Lorne Balfe,Black Adam (Original Motion Picture Soundtrack),The JSA Fights Back,19,131959,False,0.337,0.744,8,-8.267,1,0.0485,0.0151,0.695,0.0813,0.094,133.92,4,british
66212,6l8PVMHkToebBTlJacW6Fa,Secret Agent 23 Skidoo,Underground Playground,Bored is a Bad Word,16,223480,False,0.867,0.833,7,-5.634,1,0.164,0.192,1.86e-05,0.0633,0.767,99.965,4,kids
41423,1IE31z5SHJxEtTSXCFkL8L,Bad Cash Quartet,Midnight Prayer,Valentine,24,175626,False,0.516,0.657,3,-5.631,1,0.0263,0.751,0.0,0.101,0.285,95.842,4,goth
46901,0O80ZB3Rsni14LhvAPUmkv,S3RL;Mixie Moon;Mc Offside,Friendzoned (feat. Mixie Moon & MC Offside),Friendzoned (feat. Mixie Moon & MC Offside),43,248167,False,0.546,0.99,7,-1.706,1,0.0598,0.000602,0.0277,0.327,0.319,175.043,4,happy
18730,3Yl66c6Ia9qY1h3r5R5IIC,Jeff Foxworthy,The Redneck Test,Designated Drivers,21,150831,False,0.523,0.817,3,-12.668,0,0.914,0.875,0.0,0.861,0.617,106.107,4,comedy
100508,16JJiVvV0cBmo93lIivZKq,Strung Out,Twisted by Design (Reissue),Ultimate Devotion,35,126533,False,0.46,0.96,4,-5.157,0,0.165,3.68e-05,2.95e-05,0.285,0.359,109.165,4,ska
81148,3KeMulXbLDJBQdY5PZbGEh,A.R. Rahman;Shreya Ghoshal,Mimi (Original Motion Picture Soundtrack),Param Sundari,72,200218,False,0.815,0.761,4,-7.162,0,0.144,0.192,0.0,0.0272,0.82,121.999,4,pop
61742,7yCP2A4xy9aqDvmofQCPEx,NMB48,難波愛~今、思うこと~ (Type-N),夢に色がない理由/Team N,19,255645,False,0.503,0.806,7,-3.979,1,0.0321,0.287,0.0,0.581,0.394,139.958,4,j-idol
25111,34cmEDq5SNUTBwELbIiDeh,CHIC,Slow Down Soul,A Warm Summer Night,0,364853,False,0.591,0.569,9,-12.68,0,0.0468,0.397,0.0111,0.175,0.495,135.98,4,disco
76768,5lyQFFQdGpqWbGYTXKbtJz,Amaury Vassili;Mike Brant,Amaury Vassili chante Mike Brant,Qui saura (feat. Mike Brant),20,212813,False,0.448,0.746,3,-6.319,1,0.0405,0.348,0.000229,0.129,0.461,78.856,4,opera
8137,5E3WpecwN7XImHJJK8TcJw,Ella Fitzgerald,pov: you ride on santa's sleigh,White Christmas,0,181186,False,0.415,0.212,8,-15.848,1,0.0318,0.785,0.0,0.325,0.338,92.988,4,blues
102292,3Gdi12wIjkRZgQH47sD2e9,Tom Petty,Rock Workout 2023,Free Fallin',1,255680,False,0.619,0.504,5,-11.562,1,0.025,0.0614,0.0,0.06,0.568,84.335,4,songwriter
28203,6vWk151OrbHfKe4D6Z6tdV,ILLENIUM;Annika Wells,Crawl Outta Love,Crawl Outta Love,47,242011,True,0.376,0.723,7,-2.951,1,0.046,0.178,0.0,0.0815,0.167,84.146,4,dub
65557,4gkqGoKI311ayrtcvYaFTz,Jubin Nautiyal;Neeti Mohan,Romantic Hits By Jubin Nautiyal,"Bawara Mann (From ""Jolly Ll.B 2"")",49,216073,False,0.476,0.454,8,-8.334,1,0.0255,0.678,0.00175,0.313,0.344,84.991,4,k-pop
1488,6kChpaCoPoh7WY84iSpWk9,Greatman Takit,Energy (Afropop Gospel Vol 1),Story,20,190546,False,0.845,0.849,8,-5.77,0,0.163,0.711,0.0,0.329,0.808,106.873,4,afrobeat
95043,3zccs0F6ZfNsbcNxkSFs6k,Eddie Santiago,La navidad es todo aquello que nos hace recordar...,Tú Me Haces Falta,0,279173,False,0.626,0.88,2,-2.935,1,0.0308,0.195,7.46e-05,0.208,0.908,161.639,4,salsa
54478,02gfe0xcLymHXarFnaNLnL,Ilkae,Pistachio Island,Sink Lateral,12,40893,False,0.678,0.401,10,-9.875,0,0.0555,0.971,0.947,0.105,0.919,82.614,4,idm
59687,77xiA2qzH3Lte2wPV3EQWf,Martin Shamoonpour,Tehransaranieh,My Favorite Chaharshanbesuri,0,289440,False,0.625,0.548,7,-18.596,0,0.049,0.591,0.815,0.117,0.406,101.225,4,iranian
65523,0Uju0OCAsVwlNSY0mQlGTb,Jagjit Singh,Kaifi Azmi Ki Kalam Se,Tum Itna Jo Muskura Rahe Ho,50,321311,False,0.375,0.331,4,-12.649,1,0.0322,0.35,1.46e-05,0.178,0.593,171.356,4,k-pop
49638,6YtuqK0GShEo9edd4yI8rr,Wildstylez;Headhunterz,Project One,The Zero Hour,21,330106,False,0.622,0.906,9,-6.987,1,0.258,0.024,0.0133,0.342,0.0615,149.882,4,hardstyle
59276,1wkE3OwkzpEvf9CCxturAp,Najand,In the Night of Revolution,Despotism,0,369754,False,0.142,0.687,7,-0.487,0,0.0451,0.0164,0.775,0.33,0.0757,140.019,4,iranian
102265,4dUOiTUovOCy91uztDlUp3,Prateek Kuhad,Favorite Peeps,Favorite Peeps,52,193733,False,0.611,0.525,7,-9.683,1,0.0354,0.767,0.799,0.112,0.299,113.946,4,songwriter
44799,6Wlq86hkyVkLVhpYvwHVBU,Everclear,So Much For The Afterglow,Why I Don't Believe In God,27,257137,False,0.522,0.845,8,-8.176,1,0.149,0.083,0.0,0.982,0.582,168.872,4,grunge
112504,3KLsuhN1a1pnBruYVeOq3X,Kibariye,Yeniden,İllede Roman Olsun,40,232093,False,0.645,0.721,7,-5.222,0,0.0533,0.41,0.0,0.0816,0.748,145.954,3,turkish
37406,1GW9HiviLL0kWgcKhzpfoE,Gaab;MC Hariel,Só Por Hoje,Só Por Hoje,50,193422,False,0.624,0.337,11,-11.117,1,0.463,0.834,0.0,0.106,0.614,179.994,4,funk
17379,3BP8hJTYC4PoL8TNTBtnbV,Glee Cast,Glee Love Songs,Let Me Love You (Until You Learn To Love Yourself) (Glee Cast Version),48,219040,False,0.401,0.177,5,-11.218,1,0.0359,0.938,8.49e-05,0.121,0.449,111.648,4,club
45505,3ciRi9v3G3MWMzTNE15WnT,Fredrik Johansson,Unspoken,Unspoken,46,149577,False,0.524,0.185,4,-14.393,1,0.0578,0.891,0.917,0.11,0.434,80.658,3,guitar
18236,7afCEhjQKgWLoLOUs0TX4m,"""Weird Al"" Yankovic","""Weird Al"" Yankovic",I'll Be Mellow When I'm Dead,26,220906,False,0.661,0.714,2,-10.688,1,0.0615,0.185,0.0,0.264,0.866,94.046,4,comedy
13670,1bAQ5yDmhilob2DuuSNcyZ,Fast Eddie;Mike Dunn;The Renegades,The Renegades,Tag,5,222786,False,0.91,0.881,9,-3.246,0,0.107,0.0303,0.00197,0.0439,0.65,124.678,4,chicago-house
85371,4oWF3TczPs9bkEaoQd0P2g,PXNDX,Bonanza,Las mil y un camas,40,196853,False,0.517,0.786,8,-3.594,0,0.0442,0.0148,9.24e-06,0.136,0.556,132.049,4,punk-rock
