title,year,imdbID,Type,poster_url,search_term,fetched_at
The Adventures of Sherlock Holmes and Dr. Watson: The Hound of the Baskervilles,1981,tt0083100,series,https://m.media-amazon.com/images/M/MV5BYWRmNTJkMTUtMzk3Yi00MjQ5LThjYzAtNTQ0N2FlNmI4Y2Y3XkEyXkFqcGc@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
The Case-Book of Sherlock Holmes,1991,tt0098765,series,https://m.media-amazon.com/images/M/MV5BM2FmZDU0NGQtMzE0Ny00YWZmLWE2ODUtMzM3NTE2YzE1NmQ3XkEyXkFqcGc@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
Sherlock Holmes and the Voice of Terror,1942,tt0035318,movie,https://m.media-amazon.com/images/M/MV5BOTQ1NGFmYzgtNTkwYy00ZTlmLWJiMjEtOGE4MjY4YWU5YWY2XkEyXkFqcGc@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
Sherlock Holmes Faces Death,1943,tt0036348,movie,https://m.media-amazon.com/images/M/MV5BOGZjZWMzMzQtNmFkNC00ODJhLWI3YTAtNWUyM2ViODZjMzBhXkEyXkFqcGc@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
Sherlock Holmes in Washington,1943,tt0036349,movie,https://m.media-amazon.com/images/M/MV5BYjViZDBkNmMtYTNmMi00MTNlLTllZDAtZTk4YTBhMWM3MDQ1XkEyXkFqcGc@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
Sherlock Holmes and Doctor Watson,1980,tt0079902,series,https://m.media-amazon.com/images/M/MV5BMzQ2YmRhYjEtNTg3Yi00NDBjLTg3YmMtODUwNmYzMDYwN2Q3XkEyXkFqcGc@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
The Adventures of Sherlock Holmes and Dr. Watson: The Treasures of Agra,1983,tt0086333,series,https://m.media-amazon.com/images/M/MV5BNmYwNGNjN2QtOTc2My00NWQ5LTliMzQtNWI5MzMyMDUwZDE2XkEyXkFqcGc@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
Adventures of Sherlock Holmes and Dr. Watson: The Twentieth Century Approaches,1987,tt0091942,series,https://m.media-amazon.com/images/M/MV5BNTE4YWVlOGMtOTk3My00NDAzLWJiZDgtODYyN2YwYWY4OGQ2XkEyXkFqcGc@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
Sherlock Holmes and the Case of the Silk Stocking,2004,tt0429032,movie,https://m.media-amazon.com/images/M/MV5BY2Y3YjYwYjItNjZiMC00NjVlLThlMTAtNjIzNWY5MjUwNzRhXkEyXkFqcGc@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
The Adventures of Sherlock Holmes and Doctor Watson: Mortal Fight,1980,tt0229922,movie,https://m.media-amazon.com/images/M/MV5BNzg2NzczOTEtNzU5MS00ZGJmLWI3MjMtM2MzMGFiYzE0ZWJlXkEyXkFqcGdeQXVyNzk0NTA5NQ@@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
Sherlock Holmes and Doctor Watson: The Bloody Inscription,1979,tt0080263,movie,https://m.media-amazon.com/images/M/MV5BYzI2NzU4OTUtMjhiYi00NmY4LTgzNzQtOTc3MTUyNWZmZTJkXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
Sherlock Holmes,2010,tt1522835,movie,https://m.media-amazon.com/images/M/MV5BMjE5MjA2MTc5Nl5BMl5BanBnXkFtZTcwOTk4Mjk5Mg@@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
The Adventures of Sherlock Holmes and Doctor Watson: King of Blackmailers,1980,tt0459944,movie,https://m.media-amazon.com/images/M/MV5BNjE1M2Q3N2ItYTJkYS00ODU2LWFkNjYtZGQzYjQ0NDRkYjE4XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
The Adventures of Sherlock Holmes and Doctor Watson: The Hunt for the Tiger,1980,tt0459945,movie,https://m.media-amazon.com/images/M/MV5BYjFiMjI2MzQtMGY2OS00ODZlLWI1NzUtNTI2Y2JmMTJiYmYzXkEyXkFqcGdeQXVyMjM2Mzk0MDk@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
Tom and Jerry Meet Sherlock Holmes,2010,tt1722638,movie,https://m.media-amazon.com/images/M/MV5BMjM5NzI1NjI3MF5BMl5BanBnXkFtZTgwOTQ1OTAwNzE@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
The Adventures of Sherlock Holmes and Dr. Watson,1980,tt8127644,series,https://m.media-amazon.com/images/M/MV5BY2JhNThkYTMtY2Y5MS00MTUyLThlMjctNjc2NzQxZGFmNWE3XkEyXkFqcGc@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
Sherlock Holmes and the Deadly Necklace,1962,tt0056480,movie,https://m.media-amazon.com/images/M/MV5BYWUxOTllY2MtZjliOC00ZjRlLWFkNGUtNTM1NTcyNjc3MWJjXkEyXkFqcGc@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
Sherlock Holmes,1954,tt0046642,series,https://m.media-amazon.com/images/M/MV5BMmJmMjExMWEtYjY1NC00ZTZmLTg4ZTAtNTRmOGU3ZWNiMTRjXkEyXkFqcGc@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
Sherlock Holmes in New York,1976,tt0075208,movie,https://m.media-amazon.com/images/M/MV5BNmY5M2M4OGEtZjFhYi00NDJhLWE3NWUtNGMwYjM2Y2E1MTJmXkEyXkFqcGc@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
The Triumph of Sherlock Holmes,1935,tt0027136,movie,https://m.media-amazon.com/images/M/MV5BNzM5OWU0ZGQtMTgwMi00OGIxLWE3ZWYtMGEyMWQwZjA3N2U0XkEyXkFqcGc@._V1_SX300.jpg,sherlock holmes,2026-04-09T19:38:24.124987
James Bond 007: Everything or Nothing,2003,tt0366629,game,https://m.media-amazon.com/images/M/MV5BNzhiNjgxNGMtMzg0ZS00ODMwLTk5MTYtYzI0NDBmOThlZjY3XkEyXkFqcGdeQXVyNTEwNDY2MjU@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
James Bond 007: Blood Stone,2010,tt1692489,game,https://m.media-amazon.com/images/M/MV5BMTcxMzE4NDg0NF5BMl5BanBnXkFtZTgwMjg5Mjc1MDE@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
Jatt James Bond,2014,tt3732110,movie,https://m.media-amazon.com/images/M/MV5BMDUzMTdlYWEtOTVlYi00YjJhLWFmZmItZDk4Y2Y4NmQ4ZGJhXkEyXkFqcGc@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
James Bond Jr.,1991,tt0283744,series,https://m.media-amazon.com/images/M/MV5BMTQ2NjkzNTA1N15BMl5BanBnXkFtZTcwMzM1Mjg4NA@@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
James Bond in Agent Under Fire,2001,tt0295846,game,https://m.media-amazon.com/images/M/MV5BY2NjMjRmZDMtOTVmOC00MzQ4LWE4ZWYtOTE4NWQyMGVlYjlmXkEyXkFqcGdeQXVyNTEwNDY2MjU@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
The James Bond Story,1999,tt0239074,movie,https://m.media-amazon.com/images/M/MV5BMTg1ODc0MjkzMF5BMl5BanBnXkFtZTcwMDY2NzEyMQ@@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
James Bond Supports International Women's Day,2011,tt1858469,movie,https://m.media-amazon.com/images/M/MV5BYjRhYzM2YjMtZTNjOS00OThlLTgwZTQtNTVjZDAzZWU1YzM2XkEyXkFqcGc@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
Sean Connery vs James Bond,2022,tt22498916,movie,https://m.media-amazon.com/images/M/MV5BNTJjZTEzMTEtZDFlNS00NThkLThkYTEtZTMwMTdkMmNmZDMzXkEyXkFqcGc@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
James Bond,2015,tt4896340,movie,https://m.media-amazon.com/images/M/MV5BNGM1Zjg5MmEtZjVlOC00NzM3LWEzMjktMGMwMTMwY2ZmMjVkXkEyXkFqcGc@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
Happy Anniversary 007: 25 Years of James Bond,1987,tt0223426,movie,https://m.media-amazon.com/images/M/MV5BMzgwMTljODgtZmE4Yy00YjQyLWJlNDctODNkNDViNjM2MzJiXkEyXkFqcGc@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
The World of James Bond,1995,tt0114982,movie,https://m.media-amazon.com/images/M/MV5BOGVhM2YzZjctNGY1Yy00ODZkLWJmYTEtMTAzM2MwOWNiNDEzXkEyXkFqcGc@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
Daniel Craig vs James Bond,2020,tt11610250,movie,https://m.media-amazon.com/images/M/MV5BMjJiNjRjZmItODczYi00YWE4LWJhNGYtNDJmNDllYjdkMzVjXkEyXkFqcGdeQXVyMTY1MTcxMzc@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
James Bond,1999,tt0255268,movie,https://m.media-amazon.com/images/M/MV5BZTI1M2VmMjAtMDIxNy00OWY4LWJkOTEtZWZlMzJhZTA5OGUzXkEyXkFqcGc@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
The Secrets of 007: The James Bond Files,1997,tt0274814,movie,https://m.media-amazon.com/images/M/MV5BNDE3NDc2ZjQtYTYzYy00Zjk0LWIxMGYtYTViNmJkYmEzOTE1XkEyXkFqcGc@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
James Bond: In Service of Nothing,2015,tt4540242,movie,https://m.media-amazon.com/images/M/MV5BNWJhODc3Y2ItYTk1Zi00MTRiLWI4NmMtMzhjOWRkNjRjMDNkXkEyXkFqcGdeQXVyMzYzNzc1NjY@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
Nobody Does It Better: The Music of James Bond,1997,tt0206978,movie,https://m.media-amazon.com/images/M/MV5BZjI3NWRlZDktZDc3Ny00MTAxLTg3N2YtNmE3ZDVlYWQ2NThhXkEyXkFqcGdeQXVyMTY1MTcxMzc@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
James Bond: For Real,2006,tt0929766,movie,https://m.media-amazon.com/images/M/MV5BZmQwY2RiOTQtNWZiZS00OGRiLTgwYTMtMTUwYWU1MWM2YmIxXkEyXkFqcGc@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
James Bond: A BAFTA Tribute,2002,tt0347268,movie,https://m.media-amazon.com/images/M/MV5BYWY2ZGVhYjctMjNiYS00MWFiLWJmY2QtZjNiMTk3YzM2ODgwXkEyXkFqcGdeQXVyMTY1MTcxMzc@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
Silhouettes: The James Bond Titles,2000,tt0323978,movie,https://m.media-amazon.com/images/M/MV5BN2NlNzFmMWEtZGJkOC00NWM3LWJkMGItMWQ4NDlkZTA4Y2I0XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
The Incredible World of James Bond,1965,tt0438106,movie,https://m.media-amazon.com/images/M/MV5BNjM1NzQ5NzYtZDQxNi00MDdlLWI3NWEtODVjMzVhM2Y4OTVlXkEyXkFqcGc@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
In Search of James Bond with Jonathan Ross,1995,tt0380436,movie,N/A,james bond,2026-04-09T19:38:24.409132
The Guns of James Bond,1964,tt0934852,movie,https://m.media-amazon.com/images/M/MV5BNWI1OTUzNmMtMTA0OC00M2UyLTkwMTktYTFmOWYwNmZhMjA3XkEyXkFqcGc@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
James Bond: The First 21 Years,1983,tt0401537,movie,https://m.media-amazon.com/images/M/MV5BY2RkZmFmMDctMzAxMS00MmYxLWJhOWMtMTkwMjdmYzZkMzkwXkEyXkFqcGc@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
James Bond Casino,2006,tt0929765,movie,N/A,james bond,2026-04-09T19:38:24.409132
The World Is Not Enough: James Bond Down River,2000,tt0918534,movie,https://m.media-amazon.com/images/M/MV5BYjIzMDk0MGYtOWEyYS00NTA5LWFjZmUtNmM5NWY5ZjFkZDYzXkEyXkFqcGc@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
James Bond 007: Yesterday and Today,1996,tt0279150,movie,N/A,james bond,2026-04-09T19:38:24.409132
James Bond 007: Coming Attractions,1984,tt0263481,movie,N/A,james bond,2026-04-09T19:38:24.409132
30 Years of James Bond,1992,tt0380158,movie,https://m.media-amazon.com/images/M/MV5BMjBhYjVjNzQtMTQ2NC00NjA1LThkNmMtMDM5Zjg1MGQ1MDgyXkEyXkFqcGc@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
James Bond 007,1983,tt0297197,game,https://m.media-amazon.com/images/M/MV5BZWQyMWY1OTgtNDI5Mi00NzdlLTk5ZmYtMTM0N2MyMjQzNzgxXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
Stalin's James Bond,2017,tt10360916,movie,https://m.media-amazon.com/images/M/MV5BY2E4MDRiNWMtZDA2NS00ZDBhLWJhNWMtNWUwZjVhODUyMDgzXkEyXkFqcGdeQXVyMjkyMDI4NTQ@._V1_SX300.jpg,james bond,2026-04-09T19:38:24.409132
Godzilla,2014,tt0831387,movie,https://m.media-amazon.com/images/M/MV5BODE2NTdmMmYtY2U1OS00MjExLWIwNjQtYjQ5NTA0ZDZmZjZiXkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Godzilla vs. Kong,2021,tt5034838,movie,https://m.media-amazon.com/images/M/MV5BMjZlYjUwZjItZmQ1ZS00NDU2LWFhNWMtMGRmMmZiMzliY2NhXkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Godzilla: King of the Monsters,2019,tt3741700,movie,https://m.media-amazon.com/images/M/MV5BMDVhMjk2OGUtYzYxNS00NzBjLTk5YTItYzI0ZjgzNjY1NmI0XkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Godzilla,1998,tt0120685,movie,https://m.media-amazon.com/images/M/MV5BMzdmYmUzYjAtMmJhNi00NGU3LWJiODYtM2I5MGFhZjBhM2NhXkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Godzilla Minus One,2023,tt23289160,movie,https://m.media-amazon.com/images/M/MV5BMjc5MjllMGUtMDIwMS00ZDVkLWEzODQtM2NlMTMwMTZhNThmXkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Godzilla Minus One,2023,tt23289160,movie,https://m.media-amazon.com/images/M/MV5BMjc5MjllMGUtMDIwMS00ZDVkLWEzODQtM2NlMTMwMTZhNThmXkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Godzilla x Kong: The New Empire,2024,tt14539740,movie,https://m.media-amazon.com/images/M/MV5BMTY0N2MzODctY2ExYy00OWYxLTkyNDItMTVhZGIxZjliZjU5XkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Godzilla x Kong: The New Empire,2024,tt14539740,movie,https://m.media-amazon.com/images/M/MV5BMTY0N2MzODctY2ExYy00OWYxLTkyNDItMTVhZGIxZjliZjU5XkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Shin Godzilla,2016,tt4262980,movie,https://m.media-amazon.com/images/M/MV5BNjg5ODA1NzQtZmNmNy00MmFhLTk1YjUtYTM2NDNmNjY4ODA1XkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Godzilla,1954,tt0047034,movie,https://m.media-amazon.com/images/M/MV5BNTk3M2U3YjMtZDkzYS00OGU5LWEwOTctMDZhNTE0ZDYxZmJjXkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
King Kong vs. Godzilla,1963,tt0056142,movie,https://m.media-amazon.com/images/M/MV5BZWRiNzYzN2ItN2QxOC00Y2ZiLThjYWItZGI5ODA2MWM4ZDllXkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Mothra vs. Godzilla,1964,tt0058379,movie,https://m.media-amazon.com/images/M/MV5BYmNmMGRhNjAtMTUyNS00NTAyLTgxMzQtNzk1ZGI2MzczYWUwXkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Godzilla: Final Wars,2004,tt0399102,movie,https://m.media-amazon.com/images/M/MV5BMTQ4MTg1MTE5Nl5BMl5BanBnXkFtZTgwMDY4MzU4MzE@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Godzilla: Planet of the Monsters,2017,tt5979874,movie,https://m.media-amazon.com/images/M/MV5BNDY2ODQ5YzgtYjc3Mi00MDk5LWE5MDEtYjNlMWU2NzAxZTQ4XkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Godzilla 2000,1999,tt0188640,movie,https://m.media-amazon.com/images/M/MV5BMzJkMzgyMDItYzYwOC00YTcyLWI0NGMtY2JmNzk1M2ViYzBmXkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Godzilla Raids Again,1955,tt0048127,movie,https://m.media-amazon.com/images/M/MV5BZjc2OTYzYjAtZjlhMS00NmJhLTlhYzEtM2Y5MjZjOWI2M2MyXkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Godzilla: King of the Monsters!,1956,tt0197521,movie,https://m.media-amazon.com/images/M/MV5BM2M3Y2NhY2QtNjUyOC00YWFkLTg2ZGEtZjEwODgxNGZiZWM5XkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Godzilla vs. Mechagodzilla,1974,tt0071565,movie,https://m.media-amazon.com/images/M/MV5BZGUzNmIxMmQtZDZlNS00ZTcyLWI1NjQtNzkzMjVkMTgwZDZkXkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Godzilla vs. King Ghidorah,1991,tt0101962,movie,https://m.media-amazon.com/images/M/MV5BMjE2NzY5NjMwNl5BMl5BanBnXkFtZTgwOTk1MjI4MzE@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Godzilla vs. Destoroyah,1995,tt0113187,movie,https://m.media-amazon.com/images/M/MV5BMDcwNTA1ZGYtYTJlZS00ODllLTg2ZjMtYWEzMDc1NWQ1MDM5XkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",2001,tt0279112,movie,https://m.media-amazon.com/images/M/MV5BMjc4NmQyMzEtZWMxZS00ZmM2LTk0NDktNWU5ZWUyMmY4YzhiXkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Godzilla vs. Biollante,1989,tt0097444,movie,https://m.media-amazon.com/images/M/MV5BMDQxNmY3M2ItMzdjYi00NWE5LWEwZTQtNzM4OGYxOGZjZWVkXkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Godzilla vs. Megalon,1973,tt0070122,movie,https://m.media-amazon.com/images/M/MV5BMjk4NmE2ZWYtOTllZS00MWNmLWFiNDEtMGZjOTkxNDRjZTczXkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Godzilla vs. Hedorah,1971,tt0067148,movie,https://m.media-amazon.com/images/M/MV5BMWI5YWYxNjgtYTZmOC00YmFlLWJjMGUtMmNiZDk3NGVjOGY0XkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Godzilla 1985,1985,tt0087344,movie,https://m.media-amazon.com/images/M/MV5BNjVjYzM0MDAtMGU1Yy00ZmUwLTk2Y2MtNWQyY2I1NWFjNzRjXkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Bambi Meets Godzilla,1969,tt0064064,movie,https://m.media-amazon.com/images/M/MV5BNTVmOGE0NmQtNDcyZS00MDgwLWI5NGUtZDFmNzIxYTkzNTMyXkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Godzilla vs. Mechagodzilla II,1993,tt0107027,movie,https://m.media-amazon.com/images/M/MV5BYWYyNTcyOWQtZjk4Ny00MzhjLTg4NmUtNWEwOTQyYjA4OGU0XkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Godzilla vs. SpaceGodzilla,1994,tt0109916,movie,https://m.media-amazon.com/images/M/MV5BNDc1ZTMwNzEtNjcxNy00YjNhLTlhMWMtM2FlNDMwNmYxMDE3XkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Son of Godzilla,1967,tt0061856,movie,https://m.media-amazon.com/images/M/MV5BMTc0YWQyNzYtODhhNS00Y2Q2LWFkMjktNDY4NDdlYjczMzUxXkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
Godzilla Against Mechagodzilla,2002,tt0314111,movie,https://m.media-amazon.com/images/M/MV5BYTNmMWJkYjktOTNmMi00ZWFmLThhNWMtMDkwMWJjZTI1OTY2XkEyXkFqcGc@._V1_SX300.jpg,godzilla,2026-04-09T19:38:24.684609
